Subbasin,SiteID,UTM_zone,UTM_E,UMT_N,Date,Diet_ID,Species,Fish_length,Fish_weight,Prey_Taxon,Count,Live_stage,Origin,Comment,Body_length_mm,Dry_mass_mg,Dry_mass_regression,Regression_taxa,Regression_ref,Intercept_a,Coefficient_b,Calories_per_mg,Calories_taxa,Calories_per_preyItem,Kingdom,Phylum,Class,SubClass,Order,Family
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Chironomidae,3,Adult,Emergent_ADULT,NA,2,0.890714142,0.1*L^1.57,Nematocera (adult) includes Chironomidae,"Sabo et al., 2002",0.1,1.57,5.454,Insecta terrestrial,4.857954933,Animalia,ARTHROPODA,INSECTA,NA,Diptera,Chironomidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Cricotopus (Isocladius),1,Larva,Aquatic,NA,3,0.023793663,0.002*L^2.254,Orthocladiinae,"Benke et al., 1999",0.002,2.254,5.424,Chironomidae,0.129056827,Animalia,ARTHROPODA,INSECTA,NA,Diptera,Chironomidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Attenella margarita,1,Larva,Aquatic,NA,4,0.420677962,0.0019*L^3.46,Ephemerellidae,"Benke et al., 1999",0.0103,2.676,5.469,Ephemeroptera,2.300687775,Animalia,ARTHROPODA,INSECTA,NA,Ephemeroptera,Ephemerellidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Diamesa,1,Larva,Aquatic,NA,6,0.9953,mean value,Diamesa spp.,"Meyer, 1989",NA,NA,5.424,Chironomidae,5.3985072,Animalia,ARTHROPODA,INSECTA,NA,Diptera,Chironomidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Empididae,1,Adult,Emergent_ADULT,NA,3,0.366706058,(2.71828183^-3.374)*(L^2.158),Brachycera adults (includes Empididae),"Sample et al., 1993",2.158,-3.374,5.454,Insecta terrestrial,2.000014842,Animalia,ARTHROPODA,INSECTA,NA,Diptera,Empididae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Cricotopus / Orthocladius,2,Larva,Aquatic,NA,2,0.019080142,0.002*L^2.254,Orthocladiinae,"Benke et al., 1999",0.002,2.254,5.424,Chironomidae,0.10349069,Animalia,ARTHROPODA,INSECTA,NA,Diptera,Chironomidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Cricotopus / Orthocladius,2,Larva,Aquatic,NA,3,0.047587326,0.002*L^2.254,Orthocladiinae,"Benke et al., 1999",0.002,2.254,5.424,Chironomidae,0.258113655,Animalia,ARTHROPODA,INSECTA,NA,Diptera,Chironomidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Ephemerella tibialis,2,Larva,Aquatic,NA,5,1.409804367,0.0097*L^2.663,Ephemerella sp.,"Benke et al., 1999",0.0097,2.663,5.469,Ephemeroptera,7.710220083,Animalia,ARTHROPODA,INSECTA,NA,Ephemeroptera,Ephemerellidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Glossosomatidae,1,Pupa,Aquatic,NA,5,4.2911,mean value,Glossosoma spp. pupa,"Meyer, 1989",NA,NA,4.999,Trichoptera,21.4512089,Animalia,ARTHROPODA,INSECTA,NA,Trichoptera,Glossosomatidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Epeorus,1,Larva,Aquatic,NA,8,2.458268572,0.0056*L^2.926,Epeorus sp.,"Benke et al., 1999",0.0056,2.926,5.586,Heptageniidae,13.73188824,Animalia,ARTHROPODA,INSECTA,NA,Ephemeroptera,Heptageniidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Ephemerella tibialis,1,Larva,Aquatic,NA,3,0.180861295,0.0097*L^2.663,Ephemerella sp.,"Benke et al., 1999",0.0097,2.663,5.469,Ephemeroptera,0.989130421,Animalia,ARTHROPODA,INSECTA,NA,Ephemeroptera,Ephemerellidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Nemata,1,Unknown,Aquatic,NA,4,0.0174,mean value,Nematoda,"Meyer, 1989",NA,NA,4.229,Aquatic Invertebrates Grand Mean,0.0735846,Animalia,NEMATODA,NA,NA,NA,NA
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Optioservus,1,Larva,Aquatic,NA,3,0.110043947,(0.0039*L^2.960)*1.092,Optioservus sp.,"Benke et al., 1999",0.0039,2.96,4.823,Insecta aquatic,0.530741957,Animalia,ARTHROPODA,INSECTA,NA,Coleoptera,Elmidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Optioservus,2,Larva,Aquatic,NA,4,0.515720999,(0.0039*L^2.960)*1.092,Optioservus sp.,"Benke et al., 1999",0.0039,2.96,4.823,Insecta aquatic,2.487322379,Animalia,ARTHROPODA,INSECTA,NA,Coleoptera,Elmidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Optioservus,1,Larva,Aquatic,NA,5,0.499158485,(0.0039*L^2.960)*1.092,Optioservus sp.,"Benke et al., 1999",0.0039,2.96,4.823,Insecta aquatic,2.407441375,Animalia,ARTHROPODA,INSECTA,NA,Coleoptera,Elmidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Orthocladiinae,3,Pupa,Aquatic,NA,2,0.073627401,(-5.26)+(2.24*lnL),Diptera (pupae),"Burgherr & Meyer, 1997",-5.26,2.24,4.823,Insecta aquatic,0.355104954,Animalia,ARTHROPODA,INSECTA,NA,Diptera,Chironomidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Parametriocnemus,1,Larva,Aquatic,NA,4,0.045506477,0.002*L^2.254,Orthocladiinae,"Benke et al., 1999",0.002,2.254,5.424,Chironomidae,0.246827132,Animalia,ARTHROPODA,INSECTA,NA,Diptera,Chironomidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Polypedilum,1,Larva,Aquatic,NA,4,0.045950224,0.001*L^2.32,Polypedilum sp.,"Benke et al., 1999",0.001,2.761,5.424,Chironomidae,0.249234017,Animalia,ARTHROPODA,INSECTA,NA,Diptera,Chironomidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Pteronarcys,1,Larva,Aquatic,NA,4,0.330400465,0.0064*L^2.845,Pteronarcys dorsata,"Benke et al., 1999",0.0064,2.845,4.823,Insecta aquatic,1.593521441,Animalia,ARTHROPODA,INSECTA,NA,Plecoptera,Pteronarcyidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Rhyacophila,1,Larva,Aquatic,NA,2,0.055231849,0.0099*L^2.480,Rhyacophila spp.,"Benke et al., 1999",0.0099,2.48,4.999,Trichoptera,0.276104014,Animalia,ARTHROPODA,INSECTA,NA,Trichoptera,Rhyacophilidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Simulium,2,Larva,Aquatic,NA,3,0.019656638,0.00025*L^3.342,Simulium tuberosum,"Benke et al., 1999",2.50E-04,3.342,4.276,Diptera aquatic,0.084051784,Animalia,ARTHROPODA,INSECTA,NA,Diptera,Simuliidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Simulium,1,Pupa,Aquatic,NA,3,0.4929,mean value,Simuliidae pupa,"Meyer, 1989",NA,NA,4.823,Insecta aquatic,2.3772567,Animalia,ARTHROPODA,INSECTA,NA,Diptera,Simuliidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Hymenoptera,1,Adult,Terrestrial,NA,3,0.266563905,(2.71828183^-4.284)*(L^2.696),Hymenoptera adult,"Sample et al., 1993",2.696,-4.284,4.629,Hymenoptera,1.233924314,Animalia,ARTHROPODA,INSECTA,NA,Hymenoptera,NA
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Microtendipes,1,Larva,Aquatic,NA,3,0.017929162,0.0007*L^2.952,Chironomini,"Benke et al., 1999",7.00E-04,2.952,5.424,Chironomidae,0.097247773,Animalia,ARTHROPODA,INSECTA,NA,Diptera,Chironomidae
Catherine Creek,AEM001_Southern Cross,11N,435938.6319,5003075.447,8/6/2019,13,CH,74,4.2,Acentrella turbida,1,Larva,Aquatic,NA,1,0.0053,0.0075*L^2.423,Baetidae,"Benke et al., 1999",0.0053,2.875,5.469,Ephemeroptera,0.0289857,Animalia,ARTHROPODA,INSECTA,NA,Ephemeroptera,Baetidae
