CombID,Site,Subbasin,UTM_E,UTM_N,Reach_length,Reach_Area,Width_BF,Pool_percent,Pools_per_100m,Wood_count_100m,Aug_mean_temp,ReddCount,Gradient,CH_per_100m,CH_per_100m_lowerCI,CH_per_100m_upperCI
248,CBW05583_138042,UGR,391475.2,5012612.1,287.4,2768,18.2,11.8,0.3,0.7,17.96,0,0.88,14.5,12,18.5
251,CBW05583_269114,UGR,391183.3,5011916.8,275.7,2814,18.06,20,1.5,1.1,17.95,0,0.69,26.4,19,39.6
256,DSGN4_000202,UGR,390806.1,5010839,274.3,2457,18.09,12.2,0.7,0.4,17.88,0,0.68,36.8,27,52.1
258,CRITFC_201913,UGR,390331.3,5010387.2,271.8,2230,18.13,9.9,0.7,4,17.88,0,0.64,37.1,25,58.5
263,CBW05583_457530,UGR,390367.2,5009489.1,312.4,3714,18.15,7.8,0.3,1.6,17.484,2,0.69,74.7,60,97.1
265,CRITFC_201912,UGR,390634.1,5008815,277.6,2966,17.83,3.1,0.4,2.9,17.358,2,0.71,106.5,87,134.1
273,CRITFC_201911,UGR,390420,5006984.9,235.4,2116,16.35,20.7,0.8,91.3,16.668,0,0.92,120.1,86,192.3
275,CRITFC_201909,UGR,390406.2,5006394.2,232,2741,16.31,13.2,0.9,12.1,16.469,0,1.06,110.4,90,142.9
281,CBW05583_355130,UGR,390276,5005467.9,241.1,2348,16.25,5.4,0.8,51.8,16.469,0,1.41,241.3,185,360.4
284,CBW05583_060218,UGR,390616.7,5004934.8,266.5,2696,16.2,10.7,0.4,10.1,16.68,0,1.24,76.5,60,104.1
289,CBW05583_486202,UGR,390947.3,5004198,240.7,2406,16.49,6.5,0.4,17.9,16.72,0,1.71,102.7,82,141.9
294,CBW05583_104250,UGR,390929.3,5003381.6,258.8,2248,16.37,6.5,0.4,22,16.463,0,1.4,181.8,129,285.8
304,CBW05583_366394,UGR,391274.6,5001660.9,247.9,2773,16.41,10.7,1.6,26.2,16.454,1,1.33,388.8,280,607.1
308,CBW05583_235322,UGR,391798.9,5001088.5,209.8,1802,16.32,20.3,1.4,8.1,16.95,2,0.86,154,127,196.2
313,CBW05583_370490,UGR,392107.7,5000369.1,241.6,2588,16.23,4.4,0.4,14.5,16.689,1,0.82,161.3,130,211.8
320,CBW05583_321338,UGR,392709.3,4999532.7,279.3,2458,16.13,22.8,1.4,7.2,16.811,3,2.62,85.5,64,123
327,CBW05583_190266,UGR,392862.9,4998346,245,2518,15.78,0,0,11.4,16.728,3,1.16,21.6,17,30.6
